City,Latitude,Longitude
Fremont,37.5482697,-121.988571
Norton,39.7944702,-99.9100033
Warsaw,52.2319581,21.0067249
Valle,13.5110996,-87.54729253516118
Gardena,33.8963593,-118.3053037
Walnut Creek,37.9020731,-122.0618702
Abu Dhabi,24.4538352,54.3774014
Monterrey,25.6802019,-100.315258
Manteca,37.7986184,-121.2117148
Milpitas,37.4332273,-121.8989248
Bartonsville,39.389387,-77.34299500372168
Grace Bay,21.7965249,-72.17850091889127
Edna,28.9772626,-96.6462526
San Diego,32.7174202,-117.1627728
Idaho Falls,43.4887907,-112.03628
Jupiter,26.9260832,-80.12108914060954
Alphen Aan Den Rijn,52.1131403,4.6408411999450685
Captiva Island,26.5275781,-82.1948171
Lexington,38.0464066,-84.4970393
Trois Rivieres,46.3715918,-72.6005021
Towson,39.396459050000004,-76.61481481790992
Groton,41.3501598,-72.0761998
Tigard,45.4307473,-122.771933
Linthicum,39.210579749999994,-76.66257353664076
Fairfield,39.7886111,-82.6418883
Seattle,47.6038321,-122.3300624
La Pine,43.6703995,-121.503636
Bal Harbour,-28.0261122,153.4226224
Chapel Hill,35.9131542,-79.05578
Anguilla,18.1954947,-63.0750234
Tlalnepantla,19.029783799999997,-98.98581963546584
Kingston,17.9712148,-76.7928128
Plymouth,50.3712659,-4.1425658
Stamford,41.0534302,-73.5387341
Austin,30.2711286,-97.7436995
Montreal,45.5031824,-73.5698065
Sunny Isles Beach,25.9426915,-80.1218486
Troy,39.957373950000004,26.238017461011644
Nanjing,32.0615652,118.7915079
Stone Mountain,33.8062166,-84.1457505
Bellevue,47.6144219,-122.192337
Renton,47.4799078,-122.2034496
Newport News,36.9775016,-76.42977
Kearney,40.4906216,-98.9472344
Bandon,-6.9344694,107.6049539
Culiacan,24.7978965,-107.393395
Mt.Crested Butte,38.9076593,-106.9690519
Savannah,32.0809263,-81.0911768
Duncanville,32.6518004,-96.9083366
North Las Vegas,36.2005843,-115.121584
Hertfordshire,51.840052299999996,-0.09785519224523963
Springfield,39.7990175,-89.6439575
Rio De Janeiro,-22.9110137,-43.2093727
Boulder City,35.9787638,-114.8337739
Lockhart,29.8832105,-97.6736292
Ottawa,45.3969506,-75.6851593
Burlington,44.4761601,-73.212906
Battle Ground,45.7813532,-122.5337433
Gurgaon,28.42826235,77.00270014657752
Reston,38.955696,-77.34188283719988
Peoria,40.6938609,-89.5891008
Rotterdam,51.9244424,4.47775
Lynchburg,37.4137536,-79.1422464
Oacoma,43.796109,-99.39533
Primm,35.6115884,-115.3858615
Victoria,-36.5986096,144.6780052
Santa Rosa,38.4404925,-122.7141049
Mckinney,33.1976496,-96.6154471
Gateway,26.5801741,-81.73882374764526
Binghamton,42.0987125,-75.9125262
Pittsburgh,40.4416941,-79.9900861
Saraland,30.820742,-88.0705556
Ocean City,39.2776156,-74.5746001
Sanibel Island,26.440359,-82.1137049
Rapid City,44.0869329,-103.2274481
Erlanger,39.0167275,-84.6007773
New York,40.7127281,-74.0060152
Omaha,41.2587459,-95.9383758
Avon,48.4048867,2.7207225
Palestine,31.462420950000002,34.262716572130714
Anderson,31.7819242,-95.6258199
Warwick,52.2814519,-1.5815742
Denver,39.7392364,-104.9848623
Pigeon Forge,35.7884241,-83.5543329
Clive,41.6096559,-93.7754644
Doral,25.8195424,-80.3553302
Egg Harbor Township,39.3820672,-74.6171489
Ramat Gan,32.0686867,34.8246812
Yucca Valley,34.1236205,-116.4139839
Oakbrook,39.1806323,-81.5206784
Carolina Beach,34.0351727,-77.8935966
Bradenton,27.4989278,-82.5748194
Sherman Oaks,34.1508718,-118.4489865
Beaver Creek,39.6048786,-106.51500172410503
Yosemite National Park,37.84054795,-119.51658779802511
Hampton,37.0300969,-76.3452057
"Maui, Lahaina",20.88717735,-156.6748023632949
Portarlington,53.162222,-7.191111
Delta,33.3926893,-95.6749486
Venice Mestre,45.4943063,12.2418053
Dubuque,42.5006243,-90.6647985
Saint Robert,45.2549408,1.2935658
Fargo,46.877229,-96.789821
Oranjestad,12.5268736,-70.0356845
Incline Village,39.2501246,-119.951909
Bluffton,46.4691278,-95.2330859
Ancona,43.480120400000004,13.218790609151764
Sydney,-33.8698439,151.2082848
St. Louis,38.6264256,-90.1995853
Delaware,38.6920451,-75.4013315
California,36.7014631,-118.755997
Las Vegas,36.1672559,-115.148516
Marble Falls,30.5777511,-98.2756505
Urbana,40.1117174,-88.207301
Buena Park,33.870413,-117.9962165
Brindisi,40.63591975,17.688443357842537
South Plainfield,40.5792701,-74.4115401
Ponce,18.011564,-66.613958
Irvine,33.6856969,-117.8259819
Big Sky,45.2589644,-111.308725
Estes Park,40.3771926,-105.523216
Rahway,40.6081591,-74.2776468
Cambridge,52.2055314,0.1186637
Jackson,32.2990021,-90.1847691
Durham,35.996653,-78.9018053
Toledo,39.8560679,-4.0239568
Rosemead,34.0676169,-118.0879763
Hamburg,53.550341,10.000654
Townsend,35.6753657,-83.7557282
Odessa,46.4843023,30.7322878
Santa Maria,-29.6860512,-53.8069214
Mathis,28.0942916,-97.8274111
Torrance,33.8358492,-118.3406288
Dresden,51.0493286,13.7381437
Salina,38.8402805,-97.6114237
Ramat Hasharon,32.134855200000004,34.83019949563153
Hershey,40.285028499999996,-76.65346622319689
Birch Run,61.13815625,-149.80130747710984
Avondale,33.4355977,-112.349602
Wytheville,36.9479966,-81.0869747
