Id;Label;lat;lng;Type
[H]Las Vegas;Las Vegas;36.1672559;-115.148516;target
[C]Dorset;Dorset;50.79683685;-2.34473226124306;source
[H]Portland;Portland;45.5202471;-122.6741949;target
[H]Austin;Austin;30.2711286;-97.7436995;target
[C]Grapevine;Grapevine;32.9337381;-97.0788754;source
[H]Coral Gables;Coral Gables;25.6915434;-80.23454887092652;target
[H]Morro Bay;Morro Bay;35.3658075;-120.849901;target
[H]Oahu, Honolulu;Oahu, Honolulu;21.48343645;-158.03648372697478;target
[H]Sterling;Sterling;31.8151416;-101.0452671;target
[C]Hong Kong Sar;Hong Kong Sar;22.350627;114.1849161;source
[H]Tucson;Tucson;32.2228765;-110.9748477;target
[H]Bangor;Bangor;44.8011821;-68.7778138;target
[C]Meads Bay;Meads Bay;18.18345325;-63.13948732929756;source
[H]Dallas;Dallas;32.7762719;-96.7968559;target
[H]Durham;Durham;35.996653;-78.9018053;target
[H]Jekyll Island;Jekyll Island;31.0655982;-81.41431464659931;target
[H]Las Cruces;Las Cruces;32.3140354;-106.7798078;target
[H]New York;New York;40.7127281;-74.0060152;target
[H]Philadelphia;Philadelphia;39.9527237;-75.1635262;target
[H]Primm;Primm;35.6115884;-115.3858615;target
[H]Richmond;Richmond;37.5385087;-77.43428;target
[H]San Antonio;San Antonio;29.4246002;-98.4951405;target
[H]Uniondale;Uniondale;40.7159385;-73.59384782542784;target
[H]Phoenix;Phoenix;33.4484367;-112.074141;target
[C]Middlesex;Middlesex;51.546055800000005;-0.2537791389340719;source
[C]Moscow;Moscow;55.7504461;37.6174943;source
[H]Monument Valley;Monument Valley;36.9820026;-110.1108327;target
[C]Orlando;Orlando;28.5421109;-81.3790304;source
[H]Chattanooga;Chattanooga;35.0457219;-85.3094883;target
[C]Port of Spain;Port of Spain;10.6572678;-61.5180173;source
[H]Jacksonville;Jacksonville;30.3321838;-81.655651;target
[H]Bessemer;Bessemer;33.4017766;-86.954437;target
[C]San Francisco;San Francisco;37.7790262;-122.419906;source
[H]Charlotte;Charlotte;35.2272086;-80.8430827;target
[H]Duncanville;Duncanville;32.6518004;-96.9083366;target
[H]Fort Worth;Fort Worth;32.753177;-97.3327459;target
[H]Glenn Ellen;Glenn Ellen;41.84103;-88.070717;target
[H]Lawndale;Lawndale;33.8885217;-118.3531991;target
[H]Miami Beach;Miami Beach;25.7929198;-80.1353006;target
[H]Myrtle Beach;Myrtle Beach;33.6956461;-78.8900409;target
[H]Naples;Naples;40.8358846;14.2487679;target
[H]National City;National City;32.6781085;-117.0991967;target
[H]North Las Vegas;North Las Vegas;36.2005843;-115.121584;target
[H]Orlando;Orlando;28.5421109;-81.3790304;target
[H]Sarasota;Sarasota;27.3365805;-82.5308545;target
[H]Southbury;Southbury;41.4814848;-73.2131693;target
[H]Towson;Towson;39.39645905;-76.61481481790992;target
[H]Tucumcari;Tucumcari;35.1719425;-103.72504;target
[H]Boca Raton;Boca Raton;26.3586885;-80.0830984;target
[C]Singapore;Singapore;1.357107;103.8194992;source
[H]Bryce Canyon;Bryce Canyon;37.618409;-112.1422341;target
[H]Westminster;Westminster;51.5004439;-0.1265398;target
[C]Coral Gables;Coral Gables;25.6915434;-80.23454887092652;source
[H]Gretna;Gretna;29.9146493;-90.0539604;target
[C]Dhaka;Dhaka;23.7644025;90.389015;source
[C]Dubai;Dubai;25.2653471;55.2924914;source
[H]Fort Lauderdale;Fort Lauderdale;26.1223084;-80.1433786;target
[H]Irving;Irving;32.8295183;-96.9442177;target
[H]Newark;Newark;40.735657;-74.1723667;target
[H]South San Francisco;South San Francisco;37.6535403;-122.4168664;target
[H]El Paso;El Paso;31.7754152;-106.464634;target
[H]Salt Lake City;Salt Lake City;40.7596198;-111.8867975;target
[H]Atlanta;Atlanta;33.7489924;-84.3902644;target
[H]Baltimore;Baltimore;39.2908816;-76.610759;target
[H]Birmingham;Birmingham;52.4796992;-1.9026911;target
[H]Brooklyn;Brooklyn;40.6526006;-73.9497211;target
[H]Clearwater Beach;Clearwater Beach;27.9774736;-82.8279313;target
[H]Detroit;Detroit;42.3315509;-83.0466403;target
[H]Jersey City;Jersey City;40.7215682;-74.047455;target
[H]Long Beach;Long Beach;33.7690164;-118.191604;target
[H]San Francisco;San Francisco;37.7790262;-122.419906;target
[H]Spartanburg;Spartanburg;34.9498007;-81.9320157;target
[H]Tallahassee;Tallahassee;30.4380832;-84.2809332;target
[H]The Woodlands;The Woodlands;30.1734194;-95.504686;target
[C]Montevideo;Montevideo;-34.9058916;-56.1913095;source
[H]Casa Grande;Casa Grande;32.8795022;-111.757352;target
[H]Greenville;Greenville;34.851354;-82.3984882;target
[H]Los Angeles;Los Angeles;34.0536909;-118.242766;target
[H]Valdosta;Valdosta;30.8327022;-83.2784851;target
[C]New York City;New York City;40.7127281;-74.0060152;source
[H]Nashville;Nashville;36.1622767;-86.7742984;target
[H]Williams;Williams;48.3629861;-103.4958386;target
[H]Asheville;Asheville;35.6009498;-82.5540161;target
[H]Boston;Boston;42.3602534;-71.0582912;target
[H]Chicago;Chicago;41.8755616;-87.6244212;target
[H]Denver;Denver;39.7392364;-104.9848623;target
[H]Florida City;Florida City;25.4480101;-80.479102;target
[H]Grapevine;Grapevine;32.9337381;-97.0788754;target
[H]Grass Valley;Grass Valley;39.2190607;-121.06292;target
[H]Hanover;Hanover;52.3744779;9.7385532;target
[H]Houston;Houston;29.7589382;-95.3676974;target
[H]Huntsville;Huntsville;34.729847;-86.5859011;target
[H]Laughlin;Laughlin;35.1187959;-114.70323202755507;target
[H]Mesquite;Mesquite;32.7666103;-96.599472;target
[H]Mountain Home;Mountain Home;43.1329504;-115.691197;target
[H]Newport Beach;Newport Beach;33.6170092;-117.9294401;target
[H]Old Greenwich;Old Greenwich;41.022875;-73.564846;target
[H]Ruidoso Downs;Ruidoso Downs;33.3289733;-105.6044291;target
[H]South Portland;South Portland;43.6414716;-70.2408811;target
[H]Tempe;Tempe;33.4255056;-111.9400091;target
[H]Virginia Beach;Virginia Beach;36.8529841;-75.9774183;target
[H]West Palm Beach;West Palm Beach;26.715364;-80.0532942;target
[H]Inglewood;Inglewood;33.9562003;-118.353132;target
[H]Arlington;Arlington;32.701939;-97.105623790337;target
[C]Barbados;Barbados;13.1500331;-59.5250305;source
[H]Herndon;Herndon;39.909726;-100.785153;target
[H]Sunnyvale;Sunnyvale;37.3688301;-122.036349;target
[H]Vicksburg;Vicksburg;32.3528055;-90.8777342;target
[H]Cheyenne;Cheyenne;41.139981;-104.820246;target
[H]Cleveland;Cleveland;41.4996562;-81.6936813;target
[H]Miami;Miami;25.7741728;-80.19362;target
[H]New Orleans;New Orleans;29.9759983;-90.0782127;target
[H]Little Rock;Little Rock;34.7465071;-92.2896267;target
[H]Seattle;Seattle;47.6038321;-122.3300624;target
[H]Daytona Beach;Daytona Beach;29.2108147;-81.0228331;target
[H]Baton Rouge;Baton Rouge;30.4459596;-91.18738;target
[H]Boulder City;Boulder City;35.9787638;-114.8337739;target
[H]Cocoa Beach;Cocoa Beach;28.3298487;-80.62054663871002;target
[H]Palm Desert;Palm Desert;33.74079965;-116.36936983394352;target
[H]Raleigh;Raleigh;35.7803977;-78.6390989;target
[H]San Rafael;San Rafael;37.9735346;-122.5310874;target
[H]Southern Pines;Southern Pines;35.1740471;-79.3922539;target
[H]Sunrise;Sunrise;26.1471902;-80.32966128894083;target
[H]West Hollywood;West Hollywood;34.0923014;-118.3692894;target
[H]Weston;Weston;51.3471927;-2.9778916;target
[H]Winter Garden;Winter Garden;28.5502685;-81.59259746085962;target
[H]Pasadena;Pasadena;34.1476452;-118.1444779;target
[C]Brooklyn;Brooklyn;40.6526006;-73.9497211;source
[H]Burlingame;Burlingame;37.5780965;-122.3473099;target
