Source;Target;Type;Label;Weight
[H]Las Vegas;[C]Dorset;directed;1466.84;1.041726119360528
[H]Portland;[C]Dorset;directed;436.16;1.0124071229447573
[H]Austin;[C]Grapevine;directed;154.98;1.0044086021505376
[H]Coral Gables;[C]Grapevine;directed;148.37;1.004220572338852
[H]Las Vegas;[C]Grapevine;directed;3077.68;1.0875485008818342
[H]Morro Bay;[C]Grapevine;directed;100.17;1.0028494623655915
[H]Oahu, Honolulu;[C]Grapevine;directed;172.94;1.0049194970700348
[H]Sterling;[C]Hong Kong Sar;directed;56.12;1.0015964043921033
[H]Tucson;[C]Hong Kong Sar;directed;92.92;1.0026432269443022
[H]Bangor;[C]Meads Bay;directed;94.09;1.0026765090743586
[H]Dallas;[C]Meads Bay;directed;496.64;1.0141275530522842
[H]Durham;[C]Meads Bay;directed;96.03;1.002731694828469
[H]Jekyll Island;[C]Meads Bay;directed;207.58;1.005904875689822
[H]Las Cruces;[C]Meads Bay;directed;360.84;1.0102645502645502
[H]New York;[C]Meads Bay;directed;1161.09;1.0330286738351255
[H]Philadelphia;[C]Meads Bay;directed;426.8;1.0121408659043067
[H]Primm;[C]Meads Bay;directed;355.02;1.0100989930022188
[H]Richmond;[C]Meads Bay;directed;234.74;1.0066774762473687
[H]San Antonio;[C]Meads Bay;directed;118.34;1.0033663310007397
[H]Uniondale;[C]Meads Bay;directed;121.25;1.0034491096319054
[H]Phoenix;[C]Middlesex;directed;109.98;1.0031285202252944
[H]New York;[C]Moscow;directed;91.18;1.0025937304431929
[H]Monument Valley;[C]Orlando;directed;125.44;1.0035682994822779
[H]Chattanooga;[C]Port of Spain;directed;685.26;1.0194930875576036
[H]Jacksonville;[C]Port of Spain;directed;66.74;1.0018985037264607
[H]Bessemer;[C]San Francisco;directed;95.37;1.0027129202935654
[H]Charlotte;[C]San Francisco;directed;113.14;1.0032184104227115
[H]Duncanville;[C]San Francisco;directed;80.41;1.0022873641690846
[H]Fort Worth;[C]San Francisco;directed;116.88;1.0033247994538317
[H]Glenn Ellen;[C]San Francisco;directed;95.37;1.0027129202935654
[H]Las Vegas;[C]San Francisco;directed;6490.67;1.1846353188826306
[H]Lawndale;[C]San Francisco;directed;77.61;1.0022077146270694
[H]Miami Beach;[C]San Francisco;directed;319.77;1.0090962621607782
[H]Myrtle Beach;[C]San Francisco;directed;88.83;1.00252688172043
[H]Naples;[C]San Francisco;directed;523.6;1.0148944643568298
[H]National City;[C]San Francisco;directed;85.09;1.0024204926893099
[H]North Las Vegas;[C]San Francisco;directed;73.87;1.0021013255959492
[H]Orlando;[C]San Francisco;directed;656.4;1.0186721283495477
[H]Sarasota;[C]San Francisco;directed;701.28;1.0199487967229903
[H]Southbury;[C]San Francisco;directed;92.57;1.0026332707515504
[H]Towson;[C]San Francisco;directed;62.65;1.0017821585025886
[H]Tucumcari;[C]San Francisco;directed;74.8;1.0021277806224043
