layout,bed_size,beds,description,comments
dormitory,,*,"mixed dormitory",
dormitory,,*,"female dormitory",
dormitory,,*,"male dormitory",
double,,2,"double room",
double,double,4,"double room double beds",
double,queen,2,"double room queen bed",
double,king,2,"double room king bed",
deluxe,,1,"deluxe room",
deluxe,double,2,"deluxe room double bed",
deluxe,king,1,"deluxe room king bed",
deluxe,queen,1,"deluxe room queen bed",
deluxe,,2,"deluxe double room",
deluxe,double,4,"deluxe double room double beds",
deluxe,queen,2,"deluxe double room queen beds",
deluxe,king,2,"deluxe double room king beds",
guest,double,2,"guest room double bed",
guest,king,1,"guest room king bed",
guest,queen,1,"guest room queen bed",
luxury,,1,"luxury room",
luxury,double,2,"luxury room double bed",
luxury,king,1,"luxury room king bed",
luxury,queen,1,"luxury room queen bed",
shared,,*,"single shared room",
standard,,1,"standard room",
standard,king,1,"standard room king bed",
standard,king,2,"standard room two king beds",
standard,double,2,"standard room double bed",
standard,queen,1,"standard room queen beds",
standard,queen,2,"standard room two queen beds",
standard,double,2,"standard double room",
standard,double,4,"standard double room two double beds",
standard,queen,3,"standard double room two queen beds",
standard,king,3,"standard double room two king beds",
studio,,1,"studio apartment",
studio,double,2,"studio apartment double bed",
studio,queen,1,"studio apartment queen bed",
studio,king,1,"studio apartment king bed",
studio,,2,"studio apartment two beds",
studio,double,4,"studio apartment two double bed",
studio,queen,2,"studio apartment two queen bed",
studio,king,2,"studio apartment two king bed",
suite,,1,"suite",
suite,king,1,"suite king bed",
suite,queen,1,"suite queen bed",
suite,double,2,"suite double beds",
suite,king,2,"suite two king beds",
suite,queen,2,"suite two queen beds",
suite,,1,"suite guest room",
"one bedroom suite",,1,"suite one bedroom",
"one bedroom suite",double,2,"suite one bedroom double beds",
"one bedroom suite",queen,1,"suite one bedroom queen beds",
"one bedroom suite",king,1,"suite one bedroom king beds",
"two bedroom suite",,2,"suite two bedrooms",
"two bedroom suite",double,4,"suite two bedroom double beds",
"two bedroom suite",queen,2,"suite two bedroom queen beds",
"two bedroom suite",king,2,"suite two bedroom king beds",
superior,,1,"superior room",
superior,double,2,"superior room double bed",
superior,king,1,"superior room king bed",
superior,queen,1,"superior room queen bed",
"two bedroom superio",,2,"superior double room",
"two bedroom superio",double,4,"superior double room double beds",
"two bedroom superio",queen,2,"superior double room queen beds",
"two bedroom superio",king,2,"superior double room king beds",
Other,Any,?,"Other",
Unknown,Unknown,?,"Unknown",
